Campaign_ID,Campaign_Name,Platform,Date,Impressions,Reach,Clicks,Likes,Shares,Comments,Ad_Spend,Conversions
CAMP001,Clearance Sale,Facebook,2024-09-23,22689,22265,2246,2513,162,416,13763,167
CAMP002,New Product Launch,Twitter,2024-03-20,7446,6382,2595,382,722,444,14065,220
CAMP003,Clearance Sale,Instagram,2024-03-15,39539,32640,1370,3899,348,414,29399,143
CAMP004,Clearance Sale,Twitter,2024-03-26,25429,23264,2857,702,466,314,9359,127
CAMP005,Summer Sale,Facebook,2024-01-27,41467,30768,1860,304,372,144,8997,99
CAMP006,Clearance Sale,Twitter,2024-10-08,12139,9357,1068,2170,126,383,45424,92
CAMP007,Festival Offer,LinkedIn,2024-07-05,29729,22614,2622,4639,575,145,43727,297
CAMP008,New Product Launch,Instagram,2024-03-17,22566,14455,2996,3123,395,36,45861,85
CAMP009,Festival Offer,Instagram,2024-09-04,38890,23963,1296,1273,638,390,39382,161
CAMP010,Brand Awareness,Twitter,2024-04-10,6324,5152,1259,2232,391,243,21629,266
CAMP011,Festival Offer,Twitter,2024-08-12,23521,15139,635,1687,585,394,2750,88
CAMP012,Summer Sale,LinkedIn,2024-07-20,5379,3512,118,2387,569,351,3901,51
CAMP013,Brand Awareness,Instagram,2024-02-19,37404,33359,330,200,30,401,34416,156
CAMP014,Clearance Sale,Instagram,2024-05-30,24412,18142,387,851,255,83,35113,298
CAMP015,Clearance Sale,Instagram,2024-04-30,40487,25403,515,4375,168,237,8575,112
CAMP016,Clearance Sale,Twitter,2024-04-04,21342,14925,2129,718,102,303,41095,162
CAMP017,New Product Launch,LinkedIn,2024-01-01,17889,11889,2777,3964,440,490,35829,229
CAMP018,Summer Sale,LinkedIn,2024-10-17,28688,27996,539,3535,419,160,45486,30
CAMP019,Festival Offer,Facebook,2024-01-24,15557,11140,2931,3463,335,114,43215,30
CAMP020,Clearance Sale,Facebook,2024-10-09,18732,17902,2268,662,158,373,39440,141
CAMP021,Festival Offer,Instagram,2024-05-01,23369,15084,1594,2131,402,108,36352,92
CAMP022,New Product Launch,Instagram,2024-04-10,19021,14740,880,1941,519,281,38237,182
CAMP023,Brand Awareness,Twitter,2024-04-13,27003,18741,596,2828,57,428,29370,192
CAMP024,Brand Awareness,Instagram,2024-01-05,36454,27922,1841,4413,758,441,27691,122
CAMP025,Festival Offer,Twitter,2024-03-28,24399,14918,2192,568,111,385,14110,284
CAMP026,Festival Offer,Facebook,2024-02-08,38337,23742,2530,961,38,151,36571,224
CAMP027,Clearance Sale,Twitter,2024-07-29,5332,3347,747,3807,618,226,11334,217
CAMP028,New Product Launch,Twitter,2024-09-17,41001,39477,2678,782,178,63,40864,168
CAMP029,New Product Launch,LinkedIn,2024-02-19,12275,9273,1166,4714,612,438,22956,154
CAMP030,Summer Sale,Facebook,2024-02-11,22647,21590,1546,2007,431,52,45335,95
CAMP031,Summer Sale,Twitter,2024-08-24,27687,25994,2180,4405,367,371,39050,208
CAMP032,New Product Launch,Twitter,2024-09-27,24467,14800,1627,1321,751,77,18791,6
CAMP033,Clearance Sale,Facebook,2024-05-19,30986,24005,1985,1404,58,101,39618,125
CAMP034,New Product Launch,Facebook,2024-09-10,13917,9188,1626,1153,218,18,35431,285
CAMP035,Clearance Sale,Twitter,2024-05-21,28459,26145,686,231,151,468,33100,62
CAMP036,New Product Launch,Instagram,2024-08-31,10484,7304,775,4952,710,419,27631,29
CAMP037,Summer Sale,LinkedIn,2024-03-10,44502,28369,2153,2486,783,87,24676,164
CAMP038,New Product Launch,Twitter,2024-04-28,39780,36500,1662,1873,597,355,8912,76
CAMP039,Clearance Sale,Instagram,2024-02-07,44643,33828,1444,4866,418,202,24052,59
CAMP040,Brand Awareness,Instagram,2024-03-31,36432,26308,1007,3621,734,24,49257,270
CAMP041,New Product Launch,LinkedIn,2024-07-09,24935,24012,2550,1032,284,29,17860,273
CAMP042,Summer Sale,Facebook,2024-05-12,31301,30988,2749,4804,127,86,19154,29
CAMP043,Summer Sale,Facebook,2024-09-16,31109,21371,2768,2253,216,217,9321,220
CAMP044,Festival Offer,LinkedIn,2024-05-27,12134,10017,2459,1258,739,379,42452,249
CAMP045,Summer Sale,Instagram,2024-09-12,24820,19716,2255,1509,42,383,30600,33
CAMP046,Festival Offer,Instagram,2024-09-17,47420,29738,2780,4800,345,112,31729,239
CAMP047,Clearance Sale,Facebook,2024-05-20,10112,9133,1435,1558,488,111,39394,181
